year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2000,Tennessee,47,100,5689283,1.8,1.8,0.2,South,TN,East South Central
2000,Texas,48,379,20851820,1.8,1.8,0.1,South,TX,West South Central
2000,Utah,49,156,2233169,7,7.6,0.6,West,UT,Mountain
2000,Vermont,50,22,608827,3.6,3.6,0.8,Northeast,VT,New England
2000,Virginia,51,250,7078515,3.5,3.4,0.2,South,VA,South Atlantic
2000,Washington,53,353,5894121,6,5.8,0.3,West,WA,Pacific
2000,West Virginia,54,50,1808344,2.8,2.8,0.4,South,WV,South Atlantic
2000,Wisconsin,55,112,5363675,2.1,2.1,0.2,Midwest,WI,East North Central
2000,Wyoming,56,10,493782,NA,NA,0.6,West,WY,Mountain
2001,Alabama,1,57,4467634,1.3,1.3,0.2,South,AL,East South Central
2001,Alaska,2,14,633714,NA,NA,0.6,West,AK,Pacific
2001,Arizona,4,265,5273477,5,5.2,0.3,West,AZ,Mountain
2001,Arkansas,5,30,2691571,1.1,1.1,0.2,South,AR,West South Central
2001,California,6,551,34479458,1.6,1.6,0.1,West,CA,Pacific
2001,Colorado,8,192,4425687,4.3,4.2,0.3,West,CO,Mountain
2001,Connecticut,9,149,3432835,4.3,4.3,0.4,Northeast,CT,New England
2001,Delaware,10,36,795699,4.5,4.5,0.8,South,DE,South Atlantic
2001,District of Columbia,11,46,574504,8,8.1,1.2,South,DC,NA
2001,Florida,12,846,16356966,5.2,5.4,0.2,South,FL,South Atlantic
2001,Georgia,13,183,8377038,2.2,2.1,0.2,South,GA,South Atlantic
2001,Hawaii,15,38,1225948,3.1,3,0.5,West,HI,Pacific
2001,Idaho,16,51,1319962,3.9,4.1,0.6,West,ID,Mountain
2001,Illinois,17,525,12488445,4.2,4.2,0.2,Midwest,IL,East North Central
2001,Indiana,18,67,6127760,1.1,1.1,0.1,Midwest,IN,East North Central
2001,Iowa,19,27,2931997,0.9,0.9,0.2,Midwest,IA,West North Central
2001,Kansas,20,47,2702162,1.7,1.8,0.3,Midwest,KS,West North Central
