year,month,n_days,births,total_pop,births_pct,births_pct_day,date,seasonal,trend,remainder,country
1998,2,28,298711,275854104,0.0010828586403775237,38.673522870625845,1998-02-01,-0.5644234878413117,39.13007762696937,0.10786873149778842,United States
1998,3,31,329436,275854104,0.0011942399812909798,38.523870364225154,1998-03-01,-0.8884575632235526,39.192117014731245,0.2202109127174623,United States
1998,4,30,319758,275854104,0.0011591562183174914,38.63854061058304,1998-04-01,-2.1914078893269866,39.19668012285692,1.6332683770531133,United States
1998,5,31,330519,275854104,0.0011981659696460416,38.650515149872305,1998-05-01,-1.9704662783375964,39.2012432309826,1.4197381972273035,United States
1998,6,30,327091,275854104,0.0011857391108453473,39.52463702817824,1998-06-01,-0.33660673586964635,39.15589071535361,0.7053530486942776,United States
1998,7,31,348651,275854104,0.0012638963674798183,40.7708505638651,1998-07-01,1.8920607179379236,39.11053819972461,-0.2317483537974283,United States
1998,8,31,344736,275854104,0.00124970408270598,40.313034925999354,1998-08-01,2.71947908196612,39.04318468944582,-1.4496288454125903,United States
1998,9,30,343384,275854104,0.001244802941195321,41.49343137317737,1998-09-01,3.372815671156534,38.97583117916704,-0.8552154771461957,United States
1998,10,31,332790,275854104,0.001206398582346268,38.91608330149252,1998-10-01,0.7550115427415952,38.936971337563726,-0.7758995788127976,United States
1998,11,30,313241,275854104,0.0011355314111984355,37.85104703994785,1998-11-01,-0.5653351222018824,38.898111495960414,-0.4817293338106836,United States
1998,12,31,333896,275854104,0.0012104079481086857,39.04541768092535,1998-12-01,-0.6141606386287127,38.92145910073755,0.7381192188165073,United States
1999,1,31,319182,279040168,0.001143856822792624,36.89860718685883,1999-01-01,-1.6085093034190672,38.94480670551469,-0.43769021523678475,United States
1999,2,28,297568,279040168,0.0010663984405284619,38.08565859030222,1999-02-01,-0.5644234878413117,38.98087700246296,-0.33079492431943436,United States
1999,3,31,332939,279040168,0.0011931579685688835,38.4889667280285,1999-03-01,-0.8884575632235526,39.01694729941123,0.3604769918408266,United States
1999,4,30,316889,279040168,0.0011356393678776742,37.85464559592247,1999-04-01,-2.1914078893269866,39.00153953640772,1.0445139488417396,United States
1999,5,31,328526,279040168,0.00117734304116388,37.97880777948,1999-05-01,-1.9704662783375964,38.98613177340422,0.9631422844133795,United States
1999,6,30,332201,279040168,0.0011905131880511196,39.683772935037325,1999-06-01,-0.33660673586964635,38.960484160081165,1.059895510825804,United States
1999,7,31,349812,279040168,0.001253625965420147,40.43954727161765,1999-07-01,1.8920607179379236,38.934836546758106,-0.3873499930783808,United States
1999,8,31,351371,279040168,0.0012592129746710876,40.6197733764867,1999-08-01,2.71947908196612,38.93553467744188,-1.0352403829213017,United States
1999,9,30,349409,279040168,0.001252181728904349,41.7393909634783,1999-09-01,3.372815671156534,38.93623280812565,-0.5696575158038826,United States
1999,10,31,332980,279040168,0.0011933049008198706,38.493706478060346,1999-10-01,0.7550115427415952,38.97686734522705,-1.2381724099082945,United States
1999,11,30,315289,279040168,0.0011299054263757468,37.663514212524895,1999-11-01,-0.5653351222018824,39.01750188232845,-0.7886525476016786,United States
1999,12,31,333251,279040168,0.0011942760871617596,38.52503506973418,1999-12-01,-0.6141606386287127,39.096025166189634,0.04317054217325733,United States
2000,1,31,330108,281421906,0.0011730003704828863,37.8387216284802,2000-01-01,-1.6085093034190672,39.17454845005081,0.272682481848463,United States
2000,2,29,317377,281421906,0.0011277622432135756,38.88835321426123,2000-02-01,-0.5644234878413117,39.24091337539784,0.21186332670470165,United States
2000,3,31,340553,281421906,0.0012101154627244973,39.03598266853217,2000-03-01,-0.8884575632235526,39.30727830074486,0.6171619310108625,United States
2000,4,30,317180,281421906,0.001127062226634198,37.5687408878066,2000-04-01,-2.1914078893269866,39.34083754070055,0.4193112364330389,United States
2000,5,31,341207,281421906,0.0012124393756326843,39.11094760105433,2000-05-01,-1.9704662783375964,39.37439678065624,1.7070170987356832,United States
2000,6,30,341206,281421906,0.0012124358222490327,40.41452740830109,2000-06-01,-0.33660673586964635,39.37259255536884,1.3785415888018946,United States
2000,7,31,348975,281421906,0.0012400420598387958,40.00135676899342,2000-07-01,1.8920607179379236,39.37078833008144,-1.2614922790259442,United States
2000,8,31,360080,281421906,0.001279502385290504,41.27427049324207,2000-08-01,2.71947908196612,39.32381342363105,-0.7690220123551015,United States
2000,9,30,347609,281421906,0.0012351881377706253,41.17293792568751,2000-09-01,3.372815671156534,39.27683851718066,-1.4767162626496813,United States
2000,10,31,343921,281421906,0.0012220832588632955,39.422040608493404,2000-10-01,0.7550115427415952,39.244437674917194,-0.5774086091653814,United States
2000,11,30,333811,281421906,0.0011861585501449913,39.53861833816637,2000-11-01,-0.5653351222018824,39.21203683265374,0.8919166277145152,United States
2000,12,31,336787,281421906,0.0011967334198923377,38.604303867494764,2000-12-01,-0.6141606386287127,39.204578743226904,0.013885762896570952,United States
2001,1,31,335198,284968955,0.0011762614632881677,37.94391817058606,2001-01-01,-1.6085093034190672,39.19712065380008,0.3553068202050511,United States
2001,2,28,303534,284968955,0.0010651476052891446,38.04098590318373,2001-02-01,-0.5644234878413117,39.16602893809401,-0.560619547068967,United States
2001,3,31,338684,284968955,0.0011884943747644372,38.33852821820765,2001-03-01,-0.8884575632235526,39.13493722238794,0.09204855904326337,United States
2001,4,30,323613,284968955,0.001135607912096951,37.85359706989836,2001-04-01,-2.1914078893269866,39.034389906857214,1.0106150523681379,United States
2001,5,31,344017,284968955,0.0012072086940137041,38.942215935925944,2001-05-01,-1.9704662783375964,38.93384259132648,1.978839622937059,United States
2001,6,30,331085,284968955,0.0011618283121401767,38.72761040467256,2001-06-01,-0.33660673586964635,38.80931915348583,0.2548979870563741,United States
2001,7,31,351047,284968955,0.0012318780479087625,39.73800154544395,2001-07-01,1.8920607179379236,38.68479571564517,-0.8388548881391458,United States
2001,8,31,361802,284968955,0.0012696190011294388,40.95545164933674,2001-08-01,2.71947908196612,38.58006471855941,-0.34409215118879644,United States
2001,9,30,342564,284968955,0.0012021098929881678,40.07032976627226,2001-09-01,3.372815671156534,38.47533372147366,-1.7778196263579389,United States
2001,10,31,344074,284968955,0.0012074087158020423,38.94866825167878,2001-10-01,0.7550115427415952,38.418297191823754,-0.22464048288656357,United States
2001,11,30,323746,284968955,0.0011360746296030738,37.86915432010246,2001-11-01,-0.5653351222018824,38.361260662173855,0.07322878013048495,United States
2001,12,31,326569,284968955,0.0011459809718570922,36.967128124422324,2001-12-01,-0.6141606386287127,38.36516801801651,-0.783879254965477,United States
2002,1,31,330674,287625193,0.0011496698065666313,37.086122792471976,2002-01-01,-1.6085093034190672,38.36907537385917,0.3255567220318767,United States
